GVTREGN,bedrooms_rent,rent_mean,rent_lq,rent_med,rent_uq
92000001.00,1,644.00,425.00,525.00,725.00
112000001.00,1,400.00,350.00,395.00,450.00
112000002.00,1,448.00,375.00,425.00,495.00
112000003.00,1,420.00,350.00,400.00,475.00
112000004.00,1,424.00,375.00,417.00,475.00
112000005.00,1,461.00,395.00,450.00,500.00
112000006.00,1,552.00,450.00,525.00,625.00
112000007.00,1,1246.00,922.00,1155.00,1430.00
112000008.00,1,637.00,540.00,625.00,725.00
112000009.00,1,523.00,450.00,500.00,575.00
92000001.00,2,714.00,495.00,595.00,775.00
112000001.00,2,464.00,400.00,450.00,505.00
112000002.00,2,527.00,450.00,500.00,575.00
112000003.00,2,504.00,425.00,477.00,550.00
112000004.00,2,520.00,450.00,500.00,575.00
112000005.00,2,562.00,475.00,550.00,625.00
112000006.00,2,683.00,550.00,640.00,775.00
112000007.00,2,1569.00,1200.00,1400.00,1733.00
112000008.00,2,820.00,675.00,780.00,900.00
112000009.00,2,655.00,565.00,625.00,720.00
92000001.00,3,812.00,550.00,675.00,875.00
112000001.00,3,540.00,450.00,525.00,600.00
112000002.00,3,624.00,525.00,595.00,695.00
112000003.00,3,576.00,475.00,550.00,645.00
112000004.00,3,609.00,525.00,595.00,675.00
112000005.00,3,656.00,550.00,625.00,725.00
112000006.00,3,795.00,625.00,725.00,900.00
112000007.00,3,2038.00,1400.00,1695.00,2250.00
112000008.00,3,998.00,795.00,925.00,1150.00
112000009.00,3,792.00,675.00,750.00,850.00
92000001.00,4,1460.00,825.00,1175.00,1700.00
112000001.00,4,778.00,620.00,723.00,850.00
112000002.00,4,965.00,695.00,850.00,1050.00
112000003.00,4,1121.00,695.00,900.00,1450.00
112000004.00,4,936.00,695.00,850.00,1050.00
112000005.00,4,1059.00,763.00,950.00,1213.00
112000006.00,4,1247.00,863.00,1100.00,1450.00
112000007.00,4,3213.00,1900.00,2500.00,3445.00
112000008.00,4,1776.00,1225.00,1500.00,2000.00
112000009.00,4,1286.00,895.00,1125.00,1500.00
